Position,Artist,Genre,Lead Streams,Featured streams,Tracks,1b,100m,10m,1m,Update,% Songs Streamed 1Million Times,% Songs Streamed 10Million Times,% Songs Streamed 100Million Times,% Songs Streamed 1Billion Times
144,Ty Dolla $ign,,"6,196,662,164","10,098,794,734",189,0,14,76,160,03.04.22,85%,40%,7%,0%
145,JAY-Z,,"6,136,681,695","5,497,090,277",304,0,10,75,232,23.03.22,76%,25%,3%,0%
146,Flo Rida,,"6,085,922,168","1,623,803,156",228,0,11,42,95,15.02.22,42%,18%,5%,0%
147,Luis Fonsi,,"6,077,523,006","403,055,681",188,2,10,40,119,18.03.22,63%,21%,5%,1%
148,Britney Spears,,"6,063,790,754","602,790,618",291,0,18,57,175,11.04.22,60%,20%,6%,0%
149,blackbear,,"6,045,959,506","1,446,098,810",148,0,11,92,129,17.03.22,87%,62%,7%,0%
150,Marília Mendonça,,"6,021,692,420","1,372,849,784",117,0,22,105,111,09.04.22,95%,90%,19%,0%
151,Jonas Blue,,"5,998,747,209","104,449,221",151,0,9,35,94,23.01.22,62%,23%,6%,0%
152,Guns N' Roses,,"5,964,328,848",17,135,1,10,51,105,08.04.22,78%,38%,7%,1%
153,Russ,,"5,943,776,704","112,071,341",357,0,14,105,244,29.03.22,68%,29%,4%,0%
154,Fleetwood Mac,,"5,935,458,461",525,667,0,11,42,219,21.02.22,33%,6%,2%,0%
155,Anitta,,"5,900,095,190","1,347,036,397",155,0,20,81,143,09.04.22,92%,52%,13%,0%
156,Reik,,"5,848,430,867","295,940,939",167,0,16,71,140,11.03.22,84%,43%,10%,0%
157,Kid Cudi,,"5,815,650,058","1,318,053,851",144,0,10,84,140,03.04.22,97%,58%,7%,0%
158,Banda MS de Sergio Lizárraga,,"5,785,293,431","3,759,460",227,0,18,96,210,06.03.22,93%,42%,8%,0%
159,Bastille,,"5,771,787,802","148,631,109",192,2,10,72,148,28.03.22,77%,38%,5%,1%
160,Childish Gambino,,"5,731,431,769","562,907,561",85,1,12,62,83,06.03.22,98%,73%,14%,1%
161,2Pac,,"5,730,944,312","317,753,853",316,0,15,70,233,10.04.22,74%,22%,5%,0%
162,The Neighbourhood,,"5,693,336,373",349,90,1,11,66,90,24.03.22,100%,73%,12%,1%
163,50 Cent,,"5,639,520,201","2,481,290,890",213,0,14,58,146,10.04.22,69%,27%,7%,0%
164,Polo G,,"5,638,343,072","1,810,078,644",75,0,13,67,74,07.04.22,99%,89%,17%,0%
165,The Kid LAROI,,"5,583,045,467","715,603,644",47,1,15,42,45,07.04.22,96%,89%,32%,2%
166,Gorillaz,,"5,581,944,152","1,247,709",279,0,11,96,194,08.04.22,70%,34%,4%,0%
167,Lorde,,"5,575,419,744","276,182,653",57,0,18,42,51,10.04.22,89%,74%,32%,0%
168,Camilo,,"5,558,966,861","755,693,266",39,0,20,35,38,05.02.22,97%,90%,51%,0%
169,Usher,,"5,540,468,809","3,038,836,304",254,0,15,53,162,11.04.22,64%,21%,6%,0%
170,Becky G,,"5,516,199,409","1,329,510,395",91,0,15,50,89,10.04.22,98%,55%,16%,0%
171,Alessia Cara,,"5,508,240,468","1,570,973,961",137,2,8,40,83,02.04.22,61%,29%,6%,1%
172,Skrillex,,"5,505,509,695","1,565,908,966",145,0,14,69,130,29.01.22,90%,48%,10%,0%
173,David Bowie,,"5,502,693,339","31,481,337",1.307,1,12,59,306,02.04.22,23412%,4514%,918%,77%
174,Jhay Cortez,,"5,483,804,627","805,486,586",80,1,8,46,79,03.04.22,99%,58%,10%,1%
175,Hozier,,"5,465,445,321","5,516,118",70,1,13,43,64,25.03.22,91%,61%,19%,1%
176,Mariah Carey,,"5,462,662,796","369,079,375",642,1,11,65,241,11.04.22,38%,10%,2%,0%
177,Big Sean,,"5,453,016,107","5,809,189,588",151,0,13,69,127,08.03.22,84%,46%,9%,0%
178,Ava Max,,"5,417,458,502","201,429,933",99,1,13,36,70,11.04.22,71%,36%,13%,1%
179,French Montana,,"5,394,407,731","3,312,161,086",636,1,11,53,148,15.03.22,23%,8%,2%,0%
180,Meek Mill,,"5,375,442,379","1,900,943,088",440,0,8,92,192,03.04.22,44%,21%,2%,0%
181,Frank Sinatra,,"5,366,843,348","73,979,058",1.846,0,14,78,322,03.04.22,17443%,4225%,758%,0%
182,Foo Fighters,,"5,305,045,218",24,237,0,11,75,165,10.04.22,70%,32%,5%,0%
183,The Killers,,"5,299,334,194",0,212,1,9,67,142,09.04.22,67%,32%,4%,0%
184,Luke Combs,,"5,183,194,117","136,969,698",56,0,15,55,56,27.03.22,100%,98%,27%,0%
185,blink-182,,"5,171,804,027","59,291,510",184,0,10,90,174,03.04.22,95%,49%,5%,0%
186,Tory Lanez,,"5,166,603,428","2,499,335,847",232,0,12,83,199,02.04.22,86%,36%,5%,0%
187,U2,,"5,115,326,766","276,258,422",514,0,7,77,290,30.03.22,56%,15%,1%,0%
188,Led Zeppelin,,"5,106,324,900",0,239,0,11,62,191,07.04.22,80%,26%,5%,0%
189,Meghan Trainor,,"5,102,242,843","982,700,745",138,0,11,53,112,01.04.22,81%,38%,8%,0%
